Vivado Simulator 2019.1
Time resolution is 1 ps
At time                    0, done_intr_o = x, done_led_o = x, y_buf_en = x, y_buf_wr_en = x, y_buf_addr = xxxxxxxx, y_buf_data = xxxxxxxx
At time                 1000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000000, y_buf_data = 00000000
At time              2939000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000000, y_buf_data = 000005e2
At time              2941000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000004, y_buf_data = ffffff95
At time              2943000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000008, y_buf_data = 000024ea
At time              2945000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000000c, y_buf_data = 000001a6
At time              2947000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000010, y_buf_data = fffffd3c
At time              2949000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000014, y_buf_data = 00000017
At time              2951000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000018, y_buf_data = fffffc24
At time              2953000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000001c, y_buf_data = fffffc6f
At time              2955000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000020, y_buf_data = 00000216
At time              2957000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000024, y_buf_data = 000000a7
At time              2959000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000024, y_buf_data = 00000000
At time              4515000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000028, y_buf_data = 00000000
At time              4523000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000028, y_buf_data = fffffb00
At time              4525000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000002c, y_buf_data = 000015a3
At time              4527000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000030, y_buf_data = fffffe5b
At time              4529000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000034, y_buf_data = 00000807
